scenario,param,n_groups,size,name,delta,intro_group,intro_n,r0
"BASE - Delta: 10, 1/10 ",Delta,2,50,A,0.818181818181818,A,1,2
"BASE - Delta: 10, 1/10 ",Delta,2,50,B,-0.818181818181818,B,1,2
"Delta: 10, 1.5",Delta,2,50,A,0.818181818181818,A,1,2
"Delta: 10, 1.5",Delta,2,50,B,0.2,B,1,2
"Delta: 2, 1/2",Delta,2,50,A,0.333333333333333,A,1,2
"Delta: 2, 1/2",Delta,2,50,B,-0.333333333333333,B,1,2
"GT: mean 10, sd 1",generation_time,2,50,A,0.818181818181818,A,1,2
"GT: mean 10, sd 1",generation_time,2,50,B,-0.818181818181818,B,1,2
"GT: mean 2, sd 1",generation_time,2,50,A,0.818181818181818,A,1,2
"GT: mean 2, sd 1",generation_time,2,50,B,-0.818181818181818,B,1,2
"GT: mean 5, sd 10",generation_time,2,50,A,0.818181818181818,A,1,2
"GT: mean 5, sd 10",generation_time,2,50,B,-0.818181818181818,B,1,2
NULL - Neutral Mixing,Delta,2,50,A,0,A,1,2
NULL - Neutral Mixing,Delta,2,50,B,0,B,1,2
R0: 1.5,r0,2,50,A,0.818181818181818,A,1,1.5
R0: 1.5,r0,2,50,B,-0.818181818181818,B,1,1.5
"R0: 1.5, 2.5",r0,2,50,A,0.818181818181818,A,1,1.5
"R0: 1.5, 2.5",r0,2,50,B,-0.818181818181818,B,1,2.5
R0: 2.5,r0,2,50,A,0.818181818181818,A,1,2.5
R0: 2.5,r0,2,50,B,-0.818181818181818,B,1,2.5
Single Introduction Group A,intro_group,2,50,A,0.818181818181818,A,1,2
Single Introduction Group A,intro_group,2,50,B,-0.818181818181818,A,1,2
Single Introduction Group B,intro_group,2,50,A,0.818181818181818,B,1,2
Single Introduction Group B,intro_group,2,50,B,-0.818181818181818,B,1,2
Size: 100,Size,2,100,A,0.818181818181818,A,1,2
Size: 100,Size,2,100,B,-0.818181818181818,B,1,2
Size: 25,Size,2,25,A,0.818181818181818,A,1,2
Size: 25,Size,2,25,B,-0.818181818181818,B,1,2
"Size: 25, 250",Size,2,25,A,0.818181818181818,A,1,2
"Size: 25, 250",Size,2,250,B,-0.818181818181818,B,1,2
10% introductions,intro_group,2,50,A,0.818181818181818,A,10,2
10% introductions,intro_group,2,50,B,-0.818181818181818,B,10,2
20% introductions,intro_group,2,50,A,0.818181818181818,A,20,2
20% introductions,intro_group,2,50,B,-0.818181818181818,B,20,2
3 groups: 3rd neutral,n_groups,3,100,A,0.818181818181818,A,1,2
3 groups: 3rd neutral,n_groups,3,100,B,-0.818181818181818,B,1,2
3 groups: 3rd neutral,n_groups,3,100,C,0,C,1,2
5% introductions,intro_group,2,50,A,0.818181818181818,A,5,2
5% introductions,intro_group,2,50,B,-0.818181818181818,B,5,2
6 groups: Group 3-6 assortative/dissorative,n_groups,6,100,A,0.818181818181818,A,1,2
6 groups: Group 3-6 assortative/dissorative,n_groups,6,100,B,-0.818181818181818,B,1,2
6 groups: Group 3-6 assortative/dissorative,n_groups,6,100,C,0.818181818181818,C,1,2
6 groups: Group 3-6 assortative/dissorative,n_groups,6,100,D,-0.818181818181818,D,1,2
6 groups: Group 3-6 assortative/dissorative,n_groups,6,100,E,0.818181818181818,E,1,2
6 groups: Group 3-6 assortative/dissorative,n_groups,6,100,F,-0.818181818181818,F,1,2
